num_doc,nombre,mnt_total_trx_barrio,mnt_total_trx_cliente,%_cada_barrio
-1483352924565348593,Urbanización Ciudad Jardín,19693570.5,19695867.5,99.988
-1485650204836026698,Prados del Norte,5859.0,5859.0,100.0
-1485876204897184150,Calima,560609153.5,619811589.0,90.448
-1486384167090755690,San Cristobal,1178.5,1178.5,100.0
-1490422970849566066,San Vicente,412.5,412.5,100.0
-1491407264703087891,La Ciudadela Confandi,3040249794.0,3047315892.5,99.768
-1493530778778212906,Industrial,3328239282.0,5355104086.0,62.151
-1494091791331934092,Santa Mónica Residencial,10302125.0,15637698.5,65.88
-1499392907409379873,Urbanización Militar,7536.0,7536.0,100.0
-1500118862453565678,Ciudad Córdoba,96344347.5,96348815.5,99.995
-1502943981760111828,San Vicente,14540827.0,19708896.5,73.778
-1506862719450857535,Colseguros Andes,1203623691.0,1347151332.5,89.346
-1506873688884845202,Urbanización San Juaquín,2391.5,2391.5,100.0
-1508829807593211315,Unidad Residencial Santiago de Cali,552220192.5,552220192.5,100.0
-1509272443800931824,San Pedro,376.0,376.0,100.0
-1509355533475617239,Bolivariano,6566309.0,6573938.0,99.884
-1511236056047537513,Urbanización Ciudad Jardín,7090712.0,7093987.0,99.954
-1511382182334537661,Unicentro Cali,33900.5,39812.0,85.151
-1512378207846609830,Vipasa,32.0,32.0,100.0
-1513815487243210743,La Merced,538060457.5,1044775747.5,51.5
-1513828412216345471,Lili,830.0,830.0,100.0
-1514556547942928400,El Gran Limonar,7259861.0,12749022.0,56.944
-1515104115122457268,Juanambu,7204153.0,7204153.0,100.0
-1515788924913100371,Lili,2152242528.5,2770278074.0,77.69
-1517368271876781045,Unicentro Cali,2072.5,2072.5,100.0
-1521209914868080909,El Sena,2601.5,2601.5,100.0
-1525594444547686995,Chapinero,102.5,102.5,100.0
-152700028215408681,Nueva Floresta del Ict,26688609519.0,27240818963.5,97.973
-1527285369126553934,San Nicolás,5809144883.5,5816439332.5,99.875
-1527518317594734044,Urbanización Ciudad Jardín,10336139.0,10336139.0,100.0
-152873122276308256,San Vicente,2761052660.0,4440454276.0,62.18
-152932966910255716,San Vicente,7270413.5,7270413.5,100.0
-1529592660908616042,La Merced,3228362745.0,3228362745.0,100.0
-1529913331820230748,San Nicolás,2084985666.0,2651439227.5,78.636
-1530088181603649522,Urbanización Militar,5533759.5,5610697.0,98.629
-153178730540680812,Santa Mónica Residencial,378.5,378.5,100.0
-1539492196609807121,Santa Anita,16324573.5,16324573.5,100.0
-1540412619383715512,Unicentro Cali,552210531.5,552218284.0,99.999
-1542883853649652467,Santander,3749.0,6891.5,54.4
-154310893869336295,Calima,4666662397.0,4732939191.0,98.6
-1545620873070843189,Paseo del Comercio,2741777465.0,4256248775.5,64.418
-1546024041401918736,Urbanización San Juaquín,5086.0,5086.0,100.0
-1552476352293788519,Quintas de Don Simón,6637155.5,12954961.0,51.233
-1553971320577531271,Santander,5456.0,5456.0,100.0
-1556282281624084300,San Fernando Viejo,7096978.5,7096978.5,100.0
-1557886935805952903,Los Parques,2204824318.0,2922165305.5,75.452
-1558018899341834098,Chipichape,558.0,558.0,100.0
-1558617995782291893,Las Acacias,1520135862.5,1520145206.0,99.999
-1561019355190604596,San Pedro,4031.0,4031.0,100.0
-1563433275500646969,Ville Grande,92006202245.0,93091631599.5,98.834
-1563956577120205118,Unidad Residencial Santiago de Cali,68713.5,69831.0,98.4
-1564230463471512692,El Sena,19161.5,31659.5,60.524
-1567184020048199590,Santa Mónica Residencial,6047573.5,6047573.5,100.0
-1567956792346124286,Los Cambulos,325745448.5,558540239.0,58.321
-1569332429998980074,La Merced,6159665.5,6159665.5,100.0
-1569511021858900870,San Fernando Viejo,6963249.0,6963249.0,100.0
-1570621959627012676,Chapinero,205.0,265.0,77.358
-1573904003957883627,El Cedro,375.0,413.5,90.689
-1573971422134310793,Manuela Beltrán,3926.0,4376.5,89.706
-1574269972685353585,El Gran Limonar,552211797.0,631791845.0,87.404
-1574426682120367239,Prados del Norte,2929.5,2929.5,100.0
-157859293182988018,Área Libre-Parque del Amor,6787535.5,6787535.5,100.0
-157930460134007785,Unicentro Cali,578.5,578.5,100.0
-1579873141127354788,Alfonso Bonilla Aragón,1913224374.0,2907501865.0,65.803
-158071752095018072,San Vicente,6978725.5,6978725.5,100.0
-1580911027985970840,Vipasa,320.0,320.0,100.0
-1583446069139510312,Calima,14992484444.5,20512191031.0,73.091
-1585262344922215592,Calima,7848528149.0,8659913354.0,90.631
-1585438084314916782,Barrio Eucarístico,31234.0,40934.0,76.303
-1587600063720211406,San Fernando Nuevo,371.0,371.0,100.0
-1588818888205041863,Ciudad Córdoba,2045429474.5,2068010217.0,98.908
-1592008118043480400,Urbanización La Flora,2579.0,2579.0,100.0
-1592314377437116504,Chapinero,1656626182.5,2194686640.0,75.483
-1596154883128805092,Meléndez,10621824184.5,19124394961.5,55.541
-1597270554413338636,Bolivariano,1104423592.0,1656635389.0,66.667
-1598312348526538320,El Cedro,750.0,750.0,100.0
-159985832443235377,Urbanización San Juaquín,907.5,907.5,100.0
-1600314070680997857,Juanambu,9031.0,9031.0,100.0
-1601440244900907233,San Pedro,6405788.0,6405788.0,100.0
-1605558140061067471,La Ciudadela Confandi,506708299.0,506708299.0,100.0
-1608804926075112335,Mariano Ramos,12193592.5,19326781.5,63.092
-1609348617208229602,San Fernando Viejo,2439.0,2439.0,100.0
-1610799065197154851,12 de Octubre,6300476.5,6325609.0,99.603
-1611661141335743959,El Gran Limonar,1104531794.0,2070771837.5,53.339
-1611987475937005396,Chapinero,2208851499.5,3938968848.0,56.077
-1615430472079582157,Colseguros Andes,811360147.5,1318067775.5,61.557
-1618562609164294510,Junin,837.0,837.0,100.0
-1618713202489925549,El Gran Limonar,1003163089.5,1003204969.0,99.996
-1619042263610316392,Santa Mónica Residencial,165351.5,234702.0,70.452
-1623831492365706138,Los Parques,995312865.0,995312865.0,100.0
-1624349577811555509,La Merced,3235784797.0,3287353436.0,98.431
-1626719340268349290,Urbanización Tequendama,28035255.5,40624720.5,69.01
-1627411269478262334,El Sena,3865496326.0,4981572062.5,77.596
-1632385560581742662,Los Andes B-La Riviera,917361562.5,946103223.5,96.962
-1636444044257843445,El Cedro,552211797.5,552211797.5,100.0
-1637288223444773481,San Cristobal,2357.0,2357.0,100.0
-163801428920534161,Chipichape,43349367.0,65750872.0,65.93
-1638842213835931445,San Vicente,552205531.5,552205531.5,100.0
-1639357031926801025,Unidad Residencial Santiago de Cali,552211796.5,552211796.5,100.0
-1643711618490525784,La Fortaleza,28165816662.5,28278410610.0,99.602
-1644918184348503000,Lili,538060864.0,544687004.5,98.783
-1645499975039629541,Porvenir,506708920.5,951018097.5,53.281
-1645525385654383838,Lili,2690303829.5,2690303829.5,100.0
-1646660367611043994,Ville Grande,1146712288.0,1146747894.5,99.997
-1648145041281765287,El Cedro,411.5,411.5,100.0
-16494010083507261,Prados del Norte,5859.5,6433.0,91.085
-1651342371779112858,Lili,132.5,132.5,100.0
-1651931666208809519,San Nicolás,40314655848.5,40314689176.5,100.0
-1652064901014200954,Unidad Residencial Santiago de Cali,552217356.0,566057601.0,97.555
-1656132703003531338,San Vicente,7270413.5,7270413.5,100.0
-1657494068134813620,El Troncal,1210.5,2370.5,51.065
-1657662960235492464,San Pedro,376.0,376.0,100.0
-1658276681022473659,Urbanización Ciudad Jardín,1247.0,1247.0,100.0
-1658760205342099618,Alameda,20081549.0,38702009.5,51.888
-1659612609812601607,Lili,132.5,132.5,100.0
-1660723376049406470,Los Guayacanes,98848509.5,192877097.0,51.249
-1662207446370409542,Lili,538060731.5,548666375.5,98.067
-1664306999443390328,Prados del Norte,2930.0,2930.0,100.0
-1665598987373360029,Calima,886361022.5,886361022.5,100.0
-1669397806707954036,Brisas de los Álamos,10577138.0,16010014.5,66.066
-1669853419580981340,Unicentro Cali,552210531.5,552213144.5,100.0
-1672114097540733609,Urbanización San Juaquín,109203.0,161204.0,67.742
-1675076615276118127,Los Cambulos,1030871197.0,1508149363.0,68.353
-1676253979171808709,San Nicolás,5380605272.0,10011743650.0,53.743
-1681213285116055029,Urbanización Militar,808.0,808.0,100.0
-1681369431148932438,Lili,538060599.0,538060599.0,100.0
-1682936653832385533,Prados del Norte,2929.5,2929.5,100.0
-1683892258707676077,Unidad Residencial Santiago de Cali,1656650307.0,2633278090.0,62.912
-1684010016758909594,San Vicente,2208842128.0,2761051572.5,80.0
-1684227448530644556,El Cedro,411.5,411.5,100.0
-1684240729733185366,Calima,560609153.5,560609153.5,100.0
-1685596547224275629,Chipichape,1266.0,1266.0,100.0
-1688015675456359092,San Vicente,7270413.5,12438483.0,58.451
-1691028705907275289,El Jardín,503505036.5,503505036.5,100.0
-1692328504774534665,Santa Rosa,3230732331.0,5671426131.0,56.965
-1692413143424716419,El Cedro,552233946.5,664522585.5,83.102
-1693433294132074234,Unicentro Cali,414.5,414.5,100.0
-1695477789101125679,El Jardín,6490567009.5,6528490122.0,99.419
-1696279040955815380,Prados del Norte,2929.5,2929.5,100.0
-1696413168491263204,Urbanización Militar,560609154.0,1067317452.5,52.525
-1696519394823244000,Prados del Norte,5860.0,5860.0,100.0
-1699494593999458393,República de Israel,7110788.0,13328477.5,53.35
-170204489155931831,Primero de Mayo,3191.0,3191.0,100.0
-1702824424414983220,Unidad Residencial Santiago de Cali,552211796.5,552211796.5,100.0
-1703479941883833954,Los Guaduales,5937.0,5937.0,100.0
-1713981028990636798,Industrial,832059820.5,973005280.0,85.514
-1715297554283204884,Alameda,513098436.0,825046686.0,62.19
-171717690369221451,Villa del Sol,7251107.5,7278584.0,99.623
-1717278333814481635,Parque de la Caña,1494.0,2638.5,56.623
-1717451494085571364,Santa Mónica Residencial,1123.5,1123.5,100.0
-1718070913606390739,San Pedro,30.0,30.0,100.0
-1719269683223078347,Urbanización San Juaquín,2543.0,2543.0,100.0
-1719371607834696617,San Vicente,7270413.5,7270413.5,100.0
